Date,Nom,Clé du QCM,Note,Réponses
"2021-03-07 22:14:59",11728,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,14.39,68;D;71;C;142;C;148;B;149;D;150;C;207;D;215;D;219;D;224;B;239;A;240;B;298;A;299;C;304;B;309;C;310;B;313;C;328;0;351;B;371;A;466;C;467;D;471;0;472;A;494;B;594;A;625;B;626;C;634;C;636;A;693;C;696;C;716;D;738;A;793;A;800;D;803;C;835;C;846;D;864;C;865;0;879;C;885;B;920;0;970;C;972;B;991;C;1009;D;1015;A;1071;B;1184;A;1314;C;1374;D;1375;A;1391;A;1394;D
"2021-03-07 22:19:18",238090,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,14.39,68;A;71;C;142;A;148;C;149;A;150;C;207;0;215;A;219;D;224;A;239;A;240;B;298;B;299;C;304;D;309;C;310;B;313;C;328;A;351;D;371;0;466;C;467;C;471;B;472;A;494;0;594;A;625;B;626;B;634;C;636;B;693;B;696;C;716;D;738;A;793;A;800;C;803;C;835;C;846;D;864;0;865;C;879;C;885;B;920;B;970;B;972;B;991;0;1009;A;1015;B;1071;B;1184;A;1314;C;1374;D;1375;A;1391;A;1394;A
"2021-03-07 22:36:05",234085,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,8.07,68;A;71;C;142;A;148;0;149;A;150;0;207;C;215;0;219;0;224;A;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;A;494;B;594;D;625;0;626;0;634;C;636;B;693;D;696;C;716;A;738;A;793;0;800;C;803;C;835;0;846;D;864;C;865;0;879;0;885;B;920;0;970;B;972;B;991;C;1009;0;1015;B;1071;A;1184;A;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-08 00:55:56",1,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,19.3,68;A;71;C;142;A;148;B;149;A;150;C;207;C;215;A;219;D;224;A;239;A;240;B;298;C;299;C;304;B;309;C;310;B;313;C;328;D;351;B;371;A;466;C;467;D;471;B;472;A;494;B;594;A;625;B;626;C;634;C;636;B;693;D;696;B;716;D;738;A;793;A;800;C;803;C;835;C;846;D;864;C;865;A;879;C;885;B;920;B;970;B;972;B;991;B;1009;D;1015;B;1071;B;1184;A;1314;C;1374;D;1375;A;1391;A;1394;D
"2021-03-08 03:10:28",684351,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0,68;0;71;0;142;0;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;A;594;0;625;0;626;0;634;0;636;0;693;A;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;0;865;0;879;0;885;0;920;0;970;0;972;0;991;B;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-08 15:22:25",1111,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,11.58,68;A;71;0;142;0;148;C;149;A;150;C;207;0;215;A;219;D;224;C;239;A;240;B;298;B;299;C;304;B;309;C;310;B;313;C;328;0;351;B;371;0;466;C;467;C;471;0;472;0;494;0;594;A;625;B;626;C;634;D;636;B;693;0;696;C;716;0;738;0;793;A;800;0;803;C;835;C;846;0;864;0;865;0;879;A;885;B;920;0;970;B;972;B;991;0;1009;D;1015;B;1071;0;1184;A;1314;C;1374;D;1375;A;1391;A;1394;D
"2021-03-10 19:15:54",00000,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0,68;0;71;0;142;0;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;0;594;0;625;0;626;0;634;0;636;0;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;0;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-11 15:49:13",7192912,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0,68;0;71;0;142;0;148;0;149;0;150;0;207;D;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;0;594;0;625;0;626;0;634;0;636;0;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;0;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-11 19:28:20",0000,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0,68;0;71;0;142;0;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;0;594;0;625;0;626;0;634;0;636;0;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;0;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-11 19:57:53",7,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,14.39,68;A;71;C;142;A;148;B;149;A;150;C;207;A;215;A;219;A;224;A;239;A;240;B;298;C;299;C;304;A;309;C;310;A;313;C;328;B;351;B;371;0;466;C;467;D;471;C;472;A;494;B;594;A;625;B;626;C;634;B;636;B;693;D;696;D;716;D;738;A;793;B;800;D;803;C;835;C;846;D;864;B;865;C;879;C;885;B;920;C;970;B;972;B;991;C;1009;D;1015;B;1071;B;1184;A;1314;C;1374;A;1375;A;1391;A;1394;B
"2021-03-11 21:21:14",789,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,8.42,68;A;71;C;142;0;148;B;149;0;150;0;207;0;215;A;219;D;224;0;239;A;240;C;298;B;299;0;304;0;309;C;310;B;313;C;328;0;351;C;371;0;466;C;467;0;471;0;472;A;494;0;594;A;625;B;626;B;634;D;636;B;693;0;696;C;716;0;738;0;793;0;800;0;803;C;835;C;846;0;864;0;865;0;879;A;885;0;920;0;970;0;972;0;991;0;1009;D;1015;B;1071;0;1184;A;1314;C;1374;D;1375;A;1391;A;1394;0
"2021-03-11 21:25:33",1,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0,68;0;71;0;142;0;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;0;594;0;625;0;626;0;634;0;636;0;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;0;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
