Date,Nom,Clé du QCM,Note,Réponses
"2020-10-21 14:31:37",234085,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,11.72,42;D;48;C;62;C;68;0;70;C;71;C;72;D;87;A;90;A;95;D;109;D;110;C;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;A;157;0;158;0;168;A;169;0;170;A;171;D;180;D;322;B;381;C;387;A;397;A;463;0;652;0
"2020-10-21 15:02:46",234085,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-25 12:44:48",229079,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,17.17,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;D;157;A;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;A;397;A;463;B;652;B
"2020-10-25 20:58:49",227078,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,7.27,42;D;48;C;62;C;68;D;70;C;71;C;72;A;87;A;90;A;95;D;109;C;110;0;111;B;113;B;121;B;123;B;131;D;134;D;135;D;146;A;157;D;158;0;168;0;169;B;170;A;171;B;180;D;322;B;381;C;387;A;397;0;463;D;652;0
"2020-10-28 15:14:22",237090,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,4.24,42;0;48;0;62;C;68;A;70;C;71;B;72;0;87;0;90;0;95;0;109;0;110;0;111;C;113;B;121;D;123;B;131;C;134;0;135;0;146;0;157;0;158;0;168;0;169;0;170;0;171;0;180;0;322;B;381;0;387;0;397;0;463;0;652;0
"2020-10-28 15:54:15",237090,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;B;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-28 23:16:28",235087,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,8.89,42;D;48;D;62;C;68;B;70;C;71;C;72;D;87;A;90;C;95;0;109;D;110;B;111;C;113;B;121;B;123;B;131;C;134;D;135;0;146;0;157;0;158;0;168;A;169;0;170;0;171;D;180;D;322;0;381;C;387;0;397;0;463;0;652;0
"2020-10-28 23:35:20",235087,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.19,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;B;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-29 16:05:23",240094,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,12.32,42;D;48;D;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;C;109;C;110;D;111;B;113;B;121;B;123;B;131;C;134;D;135;D;146;A;157;B;158;C;168;A;169;B;170;D;171;C;180;D;322;B;381;C;387;B;397;A;463;B;652;D
"2020-10-29 16:54:49",240094,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;0;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-29 17:13:11",240094,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;A;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-29 17:23:01",240094,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 10:45:06",226077,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,13.33,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;B;109;D;110;C;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;B;157;A;158;C;168;A;169;B;170;C;171;D;180;D;322;B;381;C;387;A;397;A;463;0;652;B
"2020-10-30 10:58:01",226077,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 12:37:27",232082,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,6.46,42;B;48;B;62;D;68;B;70;C;71;C;72;D;87;A;90;A;95;D;109;B;110;C;111;B;113;B;121;D;123;D;131;A;134;B;135;D;146;A;157;A;158;A;168;C;169;C;170;A;171;D;180;D;322;B;381;C;387;C;397;A;463;C;652;D
"2020-10-30 12:57:57",232082,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 13:23:55",223076,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;B;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 13:24:01",233083,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,17.58,42;0;48;B;62;C;68;A;70;0;71;C;72;D;87;0;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;A;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
